,pearson,spearman,kendall
PERNOD RICARD SA,1.0,1.0,1.0
L'OREAL,0.529841309220866,0.5261123669666953,0.3717489345073662
AIR LIQUIDE SA,0.47732769617170434,0.40744442446297535,0.28522442981749774
VINCI SA,0.4649649500341481,0.42672857851588775,0.2984802620809871
AMADEUS IT GROUP SA,0.40489662704498913,0.37591948482884363,0.2590499146282995
LVMH MOET HENNESSY LOUIS VUI,0.39749352106087676,0.34138523547396715,0.23404419937085702
SAP SE,0.37317304710103966,0.42432497275073994,0.29065295243577677
DANONE,0.371061956132376,0.4599884241292767,0.32952404736145297
LINDE PLC,0.36668682678897846,0.3151333979079865,0.2190743970774531
KONINKLIJKE PHILIPS NV,0.36408380838398646,0.38781193606735337,0.2648135304705965
SANOFI,0.3567920482197751,0.3740517846945786,0.2582757953192064
UNILEVER PLC,0.33611210502353966,0.3737547864302867,0.26311705918594996
AIRBUS SE,0.3311271163670309,0.2312122015904641,0.16001112106466298
ORANGE,0.3271122888758618,0.27664260174700755,0.18865068586784242
IBERDROLA SA,0.32155852126983925,0.31208118231090126,0.21600753898123173
SCHNEIDER ELECTRIC SE,0.318855470838187,0.260741325613815,0.1784181135669867
SAFRAN SA,0.30826713048584575,0.293088103561875,0.20262235392682248
ENEL SPA,0.30285534738300135,0.25933461347790737,0.1789846008439589
ADIDAS AG,0.29433132561260555,0.27589585987302223,0.1898611102536845
ASML HOLDING NV,0.2940684506600441,0.2291308425830006,0.15557820674648204
ESSILORLUXOTTICA,0.2922553919878151,0.27246036873933954,0.18738610885199505
DEUTSCHE BOERSE AG,0.285266719529563,0.2616228093353349,0.17559092147723399
MUENCHENER RUECKVER AG-REG,0.2852002543262422,0.25275908400899505,0.17269644117640442
ANHEUSER-BUSCH INBEV SA/NV,0.27946448400933743,0.31614045765978005,0.2186911307197218
ENGIE,0.2793775772581435,0.2974947598314308,0.2051424620230583
INDUSTRIA DE DISENO TEXTIL,0.2663406393570854,0.2483865137139719,0.17136414932713584
KERING,0.25925616396768647,0.2722079066889087,0.18212421943993778
VIVENDI SE,0.2560296328150102,0.23868875950438176,0.1637627439841182
ALLIANZ SE-REG,0.2547473169444361,0.211944482762992,0.15026349055565774
CRH PLC,0.21743952180453519,0.1633106049676709,0.11143541146931563
DEUTSCHE TELEKOM AG-REG,0.21482111742156682,0.2299666924981524,0.15742242421484542
BAYER AG-REG,0.20224595513764154,0.1825863107132066,0.1268532251554103
KONINKLIJKE AHOLD DELHAIZE N,0.20138567711059216,0.19569047590719615,0.12894757286152791
DEUTSCHE POST AG-REG,0.1931075094227639,0.12449470761524523,0.08466670789237148
FRESENIUS SE & CO KGAA,0.18642894337584978,0.15527822648384493,0.10405856234443081
SIEMENS AG-REG,0.17168143814478726,0.14478660321443132,0.1026726433343038
TOTAL SE,0.1599732717592849,0.08698797199347684,0.059607456424617844
AXA SA,0.14229105583967785,0.1092437978270368,0.07251949726439942
ENI SPA,0.1394047401041235,0.0789371030403843,0.05315665948197252
BASF SE,0.12928793288617993,0.09280536594142962,0.06044600964916921
TELEFONICA SA,0.11499570765542744,0.1474024510154398,0.100157511216503
INTESA SANPAOLO,0.09591548649934764,0.0005630543018108933,-0.002254895905196322
BAYERISCHE MOTOREN WERKE AG,0.09100856750302623,0.0099518762264802,0.0020077840251748074
VOLKSWAGEN AG-PREF,0.07385374174042865,0.008767870008276314,0.006394019895556694
MERCEDES-BENZ GROUP AG,0.05448355749975237,0.006678839618123767,0.004293303700170935
NOKIA OYJ,0.050212611493756644,0.13987501932330687,0.0948864543122621
BANCO BILBAO VIZCAYA ARGENTA,0.04981934918685648,0.02402669938854044,0.014361160257685445
BNP PARIBAS,0.041677198915886435,-0.012577489810597973,-0.01006840973804426
ING GROEP NV,0.018237319613825468,-0.0321084534194399,-0.018870255736442597
BANCO SANTANDER SA,0.005133827359521286,0.013554144386827303,0.009296148897985631
SOCIETE GENERALE SA,-0.010403263568895411,-0.0669143232651141,-0.04586730931477582
